# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
127
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 0.303479
0.338392 0.0935924
0.507588 0.0519675
0.676785 0.0247541
0.845981 0.0155385
1.01518 0.00990323
1.18437 0.00665988
1.35357 0.00523535
1.52277 0.00413906
1.69196 0.00290191
1.86116 0.00237525
2.03035 0.00189802
2.19955 0.00153519
2.36875 0.0013034
2.53794 0.00109501
2.70714 0.000958358
2.87633 0.000775208
3.04553 0.000708722
3.21473 0.000609283
3.38392 0.000517974
3.55312 0.000440408
3.72231 0.000404543
3.89151 0.000366683
4.06071 0.000322078
4.2299 0.000298185
4.3991 0.000254474
4.5683 0.000237868
4.73749 0.000213873
4.90669 0.000194729
5.07588 0.000175165
5.24508 0.000164024
5.41428 0.000141032
5.58347 0.00012586
5.75267 0.000118543
5.92186 0.000109465
6.09106 0.000104583
6.26026 0.000102321
6.42945 9.92858e-05
6.59865 9.79925e-05
6.76785 0.000102105
6.93704 0.000103364
7.10624 0.000110366
7.27543 0.000113034
7.44463 0.000129413
7.61383 0.000136164
7.78302 0.000157961
7.95222 0.000185655
8.12141 0.000222683
8.29061 0.000255532
8.45981 0.000320851
8.629 0.000401022
8.7982 0.000475539
8.96739 0.000602681
9.13659 0.000830566
9.30579 0.00108371
9.47498 0.0013602
9.64418 0.00210609
9.81338 0.0035285
9.98257 0.00519115
10.1518 0.00765362
10.321 0.0179218
10.4902 0.0314373
10.6594 0.0203923
10.8286 25.0956
