# Folding 3, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
8.61633
# k [Mpc^(-1)]   p [Mpc^3]
10.8286 3.38222
21.6571 0.364936
32.4857 0.203956
43.3142 0.216532
54.1428 0.211472
64.9713 0.192262
75.7999 0.189374
86.6284 0.207923
97.457 0.204337
108.286 0.196345
119.114 0.200401
129.943 0.203181
140.771 0.188788
151.6 0.200839
162.428 0.1965
173.257 0.19231
184.085 0.195105
194.914 0.202025
205.742 0.191275
216.571 0.190061
227.4 0.20057
238.228 0.197044
249.057 0.191939
259.885 0.192696
270.714 0.19371
281.542 0.194636
292.371 0.191185
303.199 0.196094
314.028 0.194184
324.857 0.195464
335.685 0.19395
346.514 0.195634
357.342 0.19855
368.171 0.197251
378.999 0.194838
389.828 0.197128
400.656 0.195868
411.485 0.194879
422.314 0.193765
433.142 0.194932
443.971 0.202089
454.799 0.198697
465.628 0.198488
476.456 0.194113
487.285 0.197463
498.113 0.198077
508.942 0.197478
519.771 0.196581
530.599 0.20281
541.428 0.19946
552.256 0.199772
563.085 0.203149
573.913 0.204923
584.742 0.204441
595.57 0.203865
606.399 0.20616
617.227 0.209021
628.056 0.213684
638.885 0.218179
649.713 0.219965
660.542 0.225413
671.37 0.226615
682.199 0.236988
693.027 0.239477
