# Folding 0, all lengths/volumes are comoving
# Shotnoise [Mpc^3]
0.195357
# Redshift [dimensionless]
2.22045e-16
# k [Mpc^(-1)]   p [Mpc^3]
0.169196 3916.07
0.338392 1495.3
0.507588 1042.64
0.676785 930.468
0.845981 671.251
1.01518 634.447
1.18437 518.721
1.35357 440.674
1.52277 379.268
1.69196 331.957
1.86116 298.061
2.03035 284.183
2.19955 244.823
2.36875 218.956
2.53794 200.518
2.70714 172.216
2.87633 156.972
3.04553 140.068
3.21473 119.695
3.38392 108.766
3.55312 100.105
3.72231 94.6654
3.89151 87.1912
4.06071 84.2405
4.2299 76.3832
4.3991 70.9241
4.5683 67.1627
4.73749 62.3568
4.90669 58.1127
5.07588 54.0825
5.24508 52.2404
5.41428 49.799
5.58347 47.7436
5.75267 44.9903
5.92186 42.3376
6.09106 40.2912
6.26026 37.6943
6.42945 36.6837
6.59865 34.5427
6.76785 32.4925
6.93704 30.7967
7.10624 29.3355
7.27543 28.2816
7.44463 27.188
7.61383 26.4743
7.78302 25.5561
7.95222 24.8337
8.12141 23.7518
8.29061 22.7069
8.45981 22.191
8.629 21.7125
8.7982 20.8249
8.96739 20.0665
9.13659 19.2157
9.30579 18.7479
9.47498 17.6678
9.64418 17.1265
9.81338 16.7863
9.98257 16.5177
10.1518 16.2683
10.321 15.9715
10.4902 15.7361
10.6594 15.3826
10.8286 15.4182
