# Matter power spectrum
######################################################
#
# (0)  Redshift
#      Unit = dimensionless
# (1)  Fourier scale k
#      Unit = 3.240779e-25 cm**-1
#      Unit = 1.000000e-06 pc**-1
#      Unit = 1.000000e+00 Mpc**-1
# (2)  The shot-noise subtracted power
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
# (3)  The shot-noise power (scale-independant)
#      Unit = 2.937999e+73 cm**3
#      Unit = 1.000000e+18 pc**3
#      Unit = 1.000000e+00 Mpc**3
#
#       (0)             (1)             (2)             (3)    
#             z               k            P(k)         P_noise
    78.94842235  1.69196127e-01  5.84748451e-01  1.95356740e-01
    78.94842235  3.38392254e-01  4.33694946e-02  1.95356740e-01
    78.94842235  5.07588381e-01 -6.20335873e-02  1.95356740e-01
    78.94842235  6.76784509e-01 -1.31718314e-01  1.95356740e-01
    78.94842235  8.45980636e-01 -1.55625015e-01  1.95356740e-01
    78.94842235  1.01517676e+00 -1.70072804e-01  1.95356740e-01
    78.94842235  1.18437289e+00 -1.78261952e-01  1.95356740e-01
    78.94842235  1.35356902e+00 -1.81879360e-01  1.95356740e-01
    78.94842235  1.52276514e+00 -1.84721553e-01  1.95356740e-01
    78.94842235  1.69196127e+00 -1.87909108e-01  1.95356740e-01
    78.94842235  1.86115740e+00 -1.89256427e-01  1.95356740e-01
    78.94842235  2.03035353e+00 -1.90472310e-01  1.95356740e-01
    78.94842235  2.19954965e+00 -1.91428322e-01  1.95356740e-01
    78.94842235  2.36874578e+00 -1.92034108e-01  1.95356740e-01
    78.94842235  2.53794191e+00 -1.92539413e-01  1.95356740e-01
    78.94842235  2.70713803e+00 -1.92911741e-01  1.95356740e-01
    78.94842235  2.87633416e+00 -1.93371032e-01  1.95356740e-01
    78.94842235  3.04553029e+00 -1.93537285e-01  1.95356740e-01
    78.94842235  3.21472642e+00 -1.93799324e-01  1.95356740e-01
    78.94842235  3.38392254e+00 -1.94030226e-01  1.95356740e-01
    78.94842235  3.55311867e+00 -1.94237127e-01  1.95356740e-01
    78.94842235  3.72231480e+00 -1.94323103e-01  1.95356740e-01
    78.94842235  3.89151092e+00 -1.94422185e-01  1.95356740e-01
    78.94842235  4.06070705e+00 -1.94531749e-01  1.95356740e-01
    78.94842235  4.22990318e+00 -1.94599258e-01  1.95356740e-01
    78.94842235  4.39909931e+00 -1.94706712e-01  1.95356740e-01
    78.94842235  4.56829543e+00 -1.94748997e-01  1.95356740e-01
    78.94842235  4.73749156e+00 -1.94813320e-01  1.95356740e-01
    78.94842235  4.90668769e+00 -1.94862050e-01  1.95356740e-01
    78.94842235  5.07588381e+00 -1.94909520e-01  1.95356740e-01
    78.94842235  5.24507994e+00 -1.94939061e-01  1.95356740e-01
    78.94842235  5.41427607e+00 -1.94998709e-01  1.95356740e-01
    78.94842235  5.58347220e+00 -1.95035733e-01  1.95356740e-01
    78.94842235  5.75266832e+00 -1.95051300e-01  1.95356740e-01
    78.94842235  5.92186445e+00 -1.95070206e-01  1.95356740e-01
    78.94842235  6.09106058e+00 -1.95079157e-01  1.95356740e-01
    78.94842235  6.26025670e+00 -1.95076553e-01  1.95356740e-01
    78.94842235  6.42945283e+00 -1.95079222e-01  1.95356740e-01
    78.94842235  6.59864896e+00 -1.95073044e-01  1.95356740e-01
    78.94842235  6.76784509e+00 -1.95049989e-01  1.95356740e-01
    78.94842235  6.93704121e+00 -1.95036913e-01  1.95356740e-01
    78.94842235  7.10623734e+00 -1.95006170e-01  1.95356740e-01
    78.94842235  7.27543347e+00 -1.94979233e-01  1.95356740e-01
    78.94842235  7.44462959e+00 -1.94904341e-01  1.95356740e-01
    78.94842235  7.61382572e+00 -1.94875556e-01  1.95356740e-01
    78.94842235  8.12141410e+00 -1.94335552e-01  1.95356740e-01
    78.94842235  8.79819861e+00 -1.93221780e-01  1.95356740e-01
    78.94842235  9.47498312e+00 -1.88935646e-01  1.95356740e-01
    78.94842235  1.01517676e+01 -9.61525032e-02  1.95356740e-01
    78.94842235  1.08285521e+01  5.44448063e+01  1.95356740e-01
    78.94842235  1.15053366e+01 -1.52123824e-01  1.95356740e-01
    78.94842235  1.21821212e+01 -1.82708271e-01  1.95356740e-01
    78.94842235  1.28589057e+01 -1.88580137e-01  1.95356740e-01
    78.94842235  1.35356902e+01 -1.89832386e-01  1.95356740e-01
    78.94842235  1.42124747e+01 -1.50712517e-01  1.95356740e-01
    78.94842235  1.48892592e+01 -8.97029355e-02  1.95356740e-01
    78.94842235  1.55660437e+01  3.21030838e+01  1.95356740e-01
    78.94842235  1.62428282e+01 -1.52019252e-01  1.95356740e-01
    78.94842235  1.69196127e+01 -1.73042724e-01  1.95356740e-01
    78.94842235  1.75963972e+01 -1.79531531e-01  1.95356740e-01
    78.94842235  1.82731817e+01 -1.24729101e-01  1.95356740e-01
    78.94842235  1.89499662e+01  8.05375075e+00  1.95356740e-01
    78.94842235  1.96267507e+01 -1.53294359e-01  1.95356740e-01
    78.94842235  2.03035353e+01 -1.74508912e-01  1.95356740e-01
    78.94842235  2.09803198e+01 -1.10456897e-01  1.95356740e-01
    78.94842235  2.16571043e+01  2.85642554e+00  1.95356740e-01
    78.94842235  2.23338888e+01 -1.42144534e-01  1.95356740e-01
    78.94842235  2.30106733e+01 -1.03883700e-01  1.95356740e-01
    78.94842235  2.36874578e+01  6.40076526e-03  1.95356740e-01
